stop_id,name,latitude,longitude,type,capacity,assoc_node_id
79,Bệnh viện Gia Định,10.803981,106.6949431,bus_stop,2,941
80,Bệnh viện Bình Thạnh,10.7975784,106.6961525,bus_stop,2,1184
81,Cầu Bông,10.7952195,106.6960194,bus_stop,2,890
82,Cây xăng 178,10.806561,106.6969466,bus_stop,2,860
83,Cây xăng 178,10.8069953,106.6965227,bus_stop,2,860
84,Trường Tiểu học Nguyễn Đình Chiểu,10.803247,106.698343,bus_stop,2,88
85,Saigon Pearl,10.7908025,106.717903,bus_stop,2,486
86,Siêu thị Satra Food,10.8134505,106.6972692,bus_stop,2,914
87,Nhà văn hóa Lao động,10.8156039,106.6979258,bus_stop,2,856
88,Ngã năm Bình Hòa,10.8118786,106.6959329,bus_stop,2,141
89,Cầu vượt Thủ Thiêm,10.7910262,106.7149161,bus_stop,2,363
90,Trường Trung học Cơ sở Phú Mỹ,10.7926229,106.7122038,bus_stop,2,877
91,Đại học Tôn Đức Thắng,10.7932772,106.7097592,bus_stop,2,1017
92,Trường Khiếm thính Hy Vọng,10.7941716,106.709637,bus_stop,2,1016
93,CoopMart Cầu Kinh,10.8122748,106.7153748,bus_stop,2,423
94,CoopMart Cầu Kinh,10.8123579,106.7151731,bus_stop,2,461
95,Chùa Bửu Liên,10.810846,106.7134767,bus_stop,2,437
96,Ngã tư D2,10.8074106,106.7168432,bus_stop,2,1306
97,Ngã ba Cảng Than,10.8054934,106.720868,bus_stop,2,1124
98,Trường THPT Hồng Đức,10.8034089,106.7206453,bus_stop,2,22
99,Chợ Văn Thánh,10.8013437,106.7187263,bus_stop,2,1192
100,Trường Khiếm thính Hy Vọng,10.7948167,106.7097892,bus_stop,2,49
101,Đại học Tôn Đức Thánh,10.7931279,106.7100381,bus_stop,2,1017
102,Trường THCS Phú Mỹ,10.7925488,106.7121537,bus_stop,2,877
103,Cầu vượt Thủ Thiêm,10.790905,106.714839,bus_stop,2,363
104,Đại học Hồng Bàng,10.7999266,106.7075657,bus_stop,2,1004
105,Vòng xoay Hàng Xanh,10.8009117,106.7099161,bus_stop,2,416
106,Vòng xoay Hàng Xanh,10.8014918,106.709851,bus_stop,2,447
107,Chợ Hàng Xanh,10.8029749,106.7104745,bus_stop,2,979
108,Ngã tư Đinh Bộ Lĩnh,10.8137281,106.7092208,bus_stop,2,189
109,Nhà sách Miền Đông,10.8158273,106.7073398,bus_stop,2,134
110,Cầu Rạch Lăng,10.8162668,106.7006504,bus_stop,2,1315
111,Học viện Cán bộ Thành phố,10.8125978,106.7010906,bus_stop,2,662
112,Ngã tư Đinh Bộ Lĩnh,10.8136658,106.7091373,bus_stop,2,189
113,Bệnh viện Ung Bướu,10.8058426,106.6969147,bus_stop,2,152
114,Vinhomes Central Park - Tòa nhà Landmark 81,10.795827,106.7225902,bus_stop,2,623
115,Đối diện Tòa nhà Park 3 VInhomes Central Park,10.7916164,106.7233192,bus_stop,2,849
116,Hẻm 36 Nguyễn Gia Tri,10.8026872,106.7157936,bus_stop,2,37
117,Đường Võ Oanh,10.8047304,106.715966,bus_stop,2,41
118,Đại học Ngoại thương - Cơ sở 2,10.8064002,106.713867,bus_stop,2,446
119,Trường Đại học Giao thông Vận tải TP.HCM,10.8040685,106.7171803,bus_stop,2,1155
120,Chung cư Thế kỷ 21,10.8016108,106.7228432,bus_stop,2,84
121,Công viên Cầu Sài Gòn,10.7990721,106.7222115,bus_stop,2,602
122,Ga Văn Thánh,10.7974491,106.7174307,bus_stop,2,395
123,113 Nguyễn Hữu Cảnh,10.795123,106.7180798,bus_stop,2,407
124,Trần Văn Khê,10.7953967,106.7082888,bus_stop,2,646
125,Nhà thờ Giáo xứ Mông Triệu,10.7963278,106.7059388,bus_stop,2,986
126,Đường số 8,10.8108906,106.706254,bus_stop,2,353
127,Học viện cán bộ TP.HCM - Cổng 6,10.8110266,106.7023217,bus_stop,2,83
128,Chung cư 1050,10.8159023,106.700862,bus_stop,2,1316
